"VariableName","Value","ValueLabel"
"Control of institution (HD2021)","1","Public"
"Control of institution (HD2021)","2","Private not-for-profit"
"Land Grant Institution (HD2021)","1","Land Grant Institution"
"Land Grant Institution (HD2021)","2","Not a Land Grant Institution"
"Carnegie Classification 2021: Basic (HD2021)","1","Associate's Colleges: High Transfer-High Traditional"
"Carnegie Classification 2021: Basic (HD2021)","2","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional"
"Carnegie Classification 2021: Basic (HD2021)","3","Associate's Colleges: High Transfer-High Nontraditional"
"Carnegie Classification 2021: Basic (HD2021)","4","Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional"
"Carnegie Classification 2021: Basic (HD2021)","5","Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional"
"Carnegie Classification 2021: Basic (HD2021)","6","Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional"
"Carnegie Classification 2021: Basic (HD2021)","7","Associate's Colleges: High Career & Technical-High Traditional"
"Carnegie Classification 2021: Basic (HD2021)","8","Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional"
"Carnegie Classification 2021: Basic (HD2021)","9","Associate's Colleges: High Career & Technical-High Nontraditional"
"Carnegie Classification 2021: Basic (HD2021)","10","Special Focus Two-Year: Health Professions"
"Carnegie Classification 2021: Basic (HD2021)","13","Special Focus Two-Year: Other Fields"
"Carnegie Classification 2021: Basic (HD2021)","14","Baccalaureate/Associate's Colleges: Associate's Dominant"
"Carnegie Classification 2021: Basic (HD2021)","15","Doctoral Universities: Very High Research Activity
"
"Carnegie Classification 2021: Basic (HD2021)","16","Doctoral Universities: High Research Activity
"
"Carnegie Classification 2021: Basic (HD2021)","17","Doctoral/Professional Universities
"
"Carnegie Classification 2021: Basic (HD2021)","18","Master's Colleges & Universities: Larger Programs"
"Carnegie Classification 2021: Basic (HD2021)","19","Master's Colleges & Universities: Medium Programs"
"Carnegie Classification 2021: Basic (HD2021)","20","Master's Colleges & Universities: Small Programs"
"Carnegie Classification 2021: Basic (HD2021)","21","Baccalaureate Colleges: Arts & Sciences Focus"
"Carnegie Classification 2021: Basic (HD2021)","22","Baccalaureate Colleges: Diverse Fields"
"Carnegie Classification 2021: Basic (HD2021)","23","Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's"
"Carnegie Classification 2021: Basic (HD2021)","24","Special Focus Four-Year: Faith-Related Institutions"
"Carnegie Classification 2021: Basic (HD2021)","25","Special Focus Four-Year: Medical Schools & Centers"
"Carnegie Classification 2021: Basic (HD2021)","26","Special Focus Four-Year: Other Health Professions Schools"
"Carnegie Classification 2021: Basic (HD2021)","27","Special Focus Four-Year: Research Institutions"
"Carnegie Classification 2021: Basic (HD2021)","28","Special Focus Four-Year: Engineering and Other Technology-Related Schools"
"Carnegie Classification 2021: Basic (HD2021)","29","Special Focus Four-Year: Business & Management Schools"
"Carnegie Classification 2021: Basic (HD2021)","30","Special Focus Four-Year: Arts, Music & Design Schools"
"Carnegie Classification 2021: Basic (HD2021)","31","Special Focus Four-Year: Law Schools"
"Carnegie Classification 2021: Basic (HD2021)","32","Special Focus Four-Year: Other Special Focus Institutions"
"Carnegie Classification 2021: Basic (HD2021)","33","Tribal Colleges"
"Carnegie Classification 2021: Basic (HD2021)","-2","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)"
